,Order ID,Order Date,Ship Date,Customer Name,Country,City,State,Category,Product Name,Sales,Quantity,Profit
22,CA-2011-106376,05-12-2011,10-12-2011,Brendan Sweed,USA,Gilbert,Arizona,Phones,netTALK DUO VoIP Telephone Service,167.97,4.0,62.99
23,CA-2011-139451,12-10-2011,16-10-2011,Duane Noonan,USA,San Francisco,California,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5.0,4.17
24,CA-2011-139451,12-10-2011,16-10-2011,Duane Noonan,USA,San Francisco,California,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.0,6.2
25,CA-2013-109806,18-09-2013,23-09-2013,Jim Sink,USA,Los Angeles,California,Art,Turquoise Lead Holder with Pocket Clip,20.1,3.0,6.63
26,CA-2013-109806,18-09-2013,23-09-2013,Jim Sink,USA,Los Angeles,California,Phones,Panasonic Kx-TS550,73.58,2.0,8.28
27,CA-2013-109806,18-09-2013,23-09-2013,Jim Sink,USA,Los Angeles,California,Paper,Xerox 1995,6.48,1.0,3.11
28,US-2014-109484,07-11-2014,13-11-2014,Roger Barcio,USA,Portland,Oregon,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1.0,-3.79
29,CA-2014-157833,18-06-2014,21-06-2014,Katherine Ducich,USA,San Francisco,California,Binders,Trimflex Flexible Post Binders,51.31,3.0,17.96
30,US-2012-156867,13-11-2012,17-11-2012,Lena Cacioppo,USA,Aurora,Colorado,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.9,6.0,-26.88
31,US-2012-156867,13-11-2012,17-11-2012,Lena Cacioppo,USA,Aurora,Colorado,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3.0,-3.84
32,US-2012-156867,13-11-2012,17-11-2012,Lena Cacioppo,USA,Aurora,Colorado,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,3.0,-25.82
33,CA-2012-110457,02-03-2012,06-03-2012,Dave Kipp,USA,Seattle,Washington,Tables,Hon Racetrack Conference Tables,787.53,3.0,165.38
34,US-2014-107272,06-11-2014,13-11-2014,Troy Staebel,USA,Phoenix,Arizona,Binders,"Avery Durable Slant Ring Binders, No Labels",2.39,2.0,-1.83
35,US-2014-107272,06-11-2014,13-11-2014,Troy Staebel,USA,Phoenix,Arizona,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99,7.0,30.5
36,US-2013-125969,07-11-2013,11-11-2013,Lindsay Shagiari,USA,Los Angeles,California,Chairs,"Global Task Chair, Black",81.42,2.0,-9.16
37,US-2013-125969,07-11-2013,11-11-2013,Lindsay Shagiari,USA,Los Angeles,California,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3.0,26.24
38,CA-2013-145583,14-10-2013,20-10-2013,Lena Creighton,USA,Roseville,California,Paper,Xerox 195,20.04,3.0,9.62
39,CA-2013-145583,14-10-2013,20-10-2013,Lena Creighton,USA,Roseville,California,Paper,Xerox 1880,35.44,1.0,16.66
40,CA-2013-145583,14-10-2013,20-10-2013,Lena Creighton,USA,Roseville,California,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4.0,3.46
41,CA-2013-145583,14-10-2013,20-10-2013,Lena Creighton,USA,Roseville,California,Fasteners,Ideal Clamps,4.02,2.0,1.97
42,CA-2013-145583,14-10-2013,20-10-2013,Lena Creighton,USA,Roseville,California,Binders,GBC Wire Binding Strips,76.18,3.0,26.66
43,CA-2013-145583,14-10-2013,20-10-2013,Lena Creighton,USA,Roseville,California,Supplies,Fiskars Softgrip Scissors,65.88,6.0,18.45
44,CA-2013-145583,14-10-2013,20-10-2013,Lena Creighton,USA,Roseville,California,Furnishings,Longer-Life Soft White Bulbs,43.12,14.0,20.7
45,CA-2014-106180,19-09-2014,24-09-2014,Sally Hughsby,USA,San Francisco,California,Art,Newell 343,8.82,3.0,2.38
46,CA-2014-106180,19-09-2014,24-09-2014,Sally Hughsby,USA,San Francisco,California,Envelopes,Convenience Packs of Business Envelopes,10.86,3.0,5.1
47,CA-2014-106180,19-09-2014,24-09-2014,Sally Hughsby,USA,San Francisco,California,Paper,Xerox 1911,143.7,3.0,68.98
48,CA-2012-110744,07-09-2012,12-09-2012,Helen Andreada,USA,Pasadena,California,Storage,Safco Industrial Wire Shelving,671.93,7.0,20.16
49,CA-2013-158834,14-03-2013,17-03-2013,Tamara Willingham,USA,Scottsdale,Arizona,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5.0,17.77
50,CA-2013-158834,14-03-2013,17-03-2013,Tamara Willingham,USA,Scottsdale,Arizona,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.18,2.0,15.24
51,CA-2012-124919,31-05-2012,02-06-2012,Stephanie Phelps,USA,San Jose,California,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7.0,26.27
52,CA-2012-124919,31-05-2012,02-06-2012,Stephanie Phelps,USA,San Jose,California,Paper,Xerox 1883,105.52,4.0,48.54
53,CA-2012-124919,31-05-2012,02-06-2012,Stephanie Phelps,USA,San Jose,California,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6.0,21.03
54,CA-2012-118948,28-05-2012,03-06-2012,Neil Knudson,USA,Seattle,Washington,Art,Newell 311,6.63,3.0,1.79
55,CA-2011-104269,01-03-2011,06-03-2011,Dave Brooks,USA,Seattle,Washington,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2.0,51.48
56,CA-2013-162733,12-05-2013,13-05-2013,Ted Trevino,USA,Los Angeles,California,Paper,Xerox 1920,5.98,1.0,2.69
57,CA-2013-154508,17-11-2013,21-11-2013,Ruben Dartt,USA,Carlsbad,New Mexico,Envelopes,Staples,28.4,5.0,13.35
58,CA-2013-113817,08-11-2013,12-11-2013,Max Jones,USA,Seattle,Washington,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2.0,9.69
59,CA-2011-118962,05-08-2011,09-08-2011,Chad Sievert,USA,Los Angeles,California,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",20.94,3.0,9.84
60,CA-2011-118962,05-08-2011,09-08-2011,Chad Sievert,USA,Los Angeles,California,Paper,Xerox 1913,110.96,2.0,53.26
61,CA-2011-118962,05-08-2011,09-08-2011,Chad Sievert,USA,Los Angeles,California,Chairs,"Global Value Steno Chair, Gray",340.14,7.0,21.26
62,CA-2011-123260,26-08-2011,30-08-2011,Frank Merwin,USA,Los Angeles,California,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8.0,22.98
63,CA-2012-131457,31-10-2012,06-11-2012,Mary Zewe,USA,Redlands,California,Envelopes,Poly String Tie Envelopes,14.28,7.0,6.71
64,CA-2011-133690,03-08-2011,05-08-2011,Bruce Stewart,USA,Denver,Colorado,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2.0,-161.88
65,CA-2011-133690,03-08-2011,05-08-2011,Bruce Stewart,USA,Denver,Colorado,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1.0,0.29
66,CA-2014-108329,10-12-2014,15-12-2014,Laurel Elliston,USA,Whittier,California,Phones,Nortel Business Series Terminal T7208 Digital phone,444.77,4.0,44.48
67,CA-2013-130162,29-10-2013,02-11-2013,Jonathan Howell,USA,Los Angeles,California,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6.0,26.06
68,CA-2013-130162,29-10-2013,02-11-2013,Jonathan Howell,USA,Los Angeles,California,Phones,Adtran 1202752G1,302.38,3.0,22.68
69,CA-2014-160514,13-11-2014,17-11-2014,David Bremer,USA,Santa Clara,California,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2.0,4.75
70,CA-2013-154739,11-12-2013,16-12-2013,Logan Haushalter,USA,San Francisco,California,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,2.0,28.14
71,CA-2013-145625,12-09-2013,18-09-2013,Kelly Collister,USA,San Diego,California,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",7.61,1.0,3.58
72,CA-2013-145625,12-09-2013,18-09-2013,Kelly Collister,USA,San Diego,California,Accessories,Logitech P710e Mobile Speakerphone,3347.37,13.0,636.0
73,CA-2012-155040,10-11-2012,15-11-2012,Alan Hwang,USA,Brentwood,California,Accessories,Microsoft Sculpt Comfort Mouse,79.9,2.0,35.16
74,CA-2014-163979,29-12-2014,03-01-2015,Kristen Hastings,USA,San Francisco,California,Storage,Adjustable Depth Letter/Legal Cart,725.84,4.0,210.49
75,CA-2012-155334,30-07-2012,31-07-2012,Helen Andreada,USA,San Francisco,California,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.93,7.0,92.37
76,CA-2012-155334,30-07-2012,31-07-2012,Helen Andreada,USA,San Francisco,California,Furnishings,Regeneration Desk Collection,5.28,3.0,2.32
77,CA-2012-155334,30-07-2012,31-07-2012,Helen Andreada,USA,San Francisco,California,Binders,Presstex Flexible Ring Binders,10.92,3.0,4.1
78,CA-2014-118136,17-09-2014,18-09-2014,Barry Blumstein,USA,Inglewood,California,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",8.82,2.0,4.06
79,CA-2014-118136,17-09-2014,18-09-2014,Barry Blumstein,USA,Inglewood,California,Art,Newell 330,5.98,1.0,1.55
80,CA-2012-130890,02-11-2012,06-11-2012,Jas O'Carroll,USA,Los Angeles,California,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5.0,51.94
81,CA-2012-130883,26-09-2012,02-10-2012,Tracy Blumstein,USA,Portland,Oregon,Paper,Staples,141.76,5.0,47.84
82,CA-2012-130883,26-09-2012,02-10-2012,Tracy Blumstein,USA,Portland,Oregon,Accessories,Microsoft Arc Touch Mouse,239.8,5.0,47.96
83,CA-2012-130883,26-09-2012,02-10-2012,Tracy Blumstein,USA,Portland,Oregon,Paper,Xerox 216,31.1,6.0,10.89
84,CA-2011-111451,26-12-2011,28-12-2011,Kelly Lampkin,USA,Colorado Springs,Colorado,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.42,8.0,78.86
85,CA-2011-111451,26-12-2011,28-12-2011,Kelly Lampkin,USA,Colorado Springs,Colorado,Chairs,Global Deluxe Office Fabric Chairs,230.35,3.0,20.16
86,CA-2011-111451,26-12-2011,28-12-2011,Kelly Lampkin,USA,Colorado Springs,Colorado,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.35,3.0,-24.56
87,CA-2011-111451,26-12-2011,28-12-2011,Kelly Lampkin,USA,Colorado Springs,Colorado,Binders,Ibico Laser Imprintable Binding System Covers,78.6,5.0,-62.88
88,CA-2011-111451,26-12-2011,28-12-2011,Kelly Lampkin,USA,Colorado Springs,Colorado,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",27.55,3.0,9.3
89,CA-2013-142902,13-09-2013,15-09-2013,Ben Peterman,USA,Arvada,Colorado,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.14,4.0,3.59
90,CA-2013-142902,13-09-2013,15-09-2013,Ben Peterman,USA,Arvada,Colorado,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.77,2.0,52.51
91,CA-2013-142902,13-09-2013,15-09-2013,Ben Peterman,USA,Arvada,Colorado,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.23,1.0,1.71
92,CA-2013-142902,13-09-2013,15-09-2013,Ben Peterman,USA,Arvada,Colorado,Labels,Avery 509,6.26,3.0,2.04
93,CA-2011-156601,19-09-2011,24-09-2011,Frank Atkinson,USA,Long Beach,California,Fasteners,OIC Binder Clips,7.16,2.0,3.58
94,CA-2013-162138,24-04-2013,28-04-2013,Grace Kelly,USA,Hesperia,California,Binders,Ibico Laser Imprintable Binding System Covers,251.52,6.0,81.74
95,CA-2013-162138,24-04-2013,28-04-2013,Grace Kelly,USA,Hesperia,California,Accessories,Logitech Wireless Headset h800,99.99,1.0,35.0
96,CA-2012-137946,01-09-2012,04-09-2012,Doug Bickford,USA,Los Angeles,California,Binders,Storex Dura Pro Binders,4.75,1.0,1.6
97,CA-2012-137946,01-09-2012,04-09-2012,Doug Bickford,USA,Los Angeles,California,Copiers,Hewlett Packard LaserJet 3310 Copier,959.98,2.0,335.99
98,CA-2012-137946,01-09-2012,04-09-2012,Doug Bickford,USA,Los Angeles,California,Binders,Avery Non-Stick Binders,14.37,4.0,4.49
99,CA-2011-129924,12-07-2011,17-07-2011,Alyssa Crouse,USA,San Francisco,California,Binders,Tuff Stuff Recycled Round Ring Binders,7.71,2.0,2.8
100,CA-2011-129924,12-07-2011,17-07-2011,Alyssa Crouse,USA,San Francisco,California,Tables,Hon 5100 Series Wood Tables,698.35,3.0,-17.46
101,CA-2012-128167,22-06-2012,26-06-2012,Ken Lonsdale,USA,Layton,Utah,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",4.96,4.0,2.33
102,CA-2014-169901,16-06-2014,20-06-2014,Clay Cheatham,USA,San Francisco,California,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,47.98,3.0,4.8
103,CA-2011-123344,24-09-2011,29-09-2011,Julia Dunbar,USA,San Francisco,California,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.0,8.48
104,US-2011-119137,23-07-2011,27-07-2011,Arthur Gainer,USA,Tucson,Arizona,Binders,Wilson Jones Custom Binder Spines & Labels,8.16,5.0,-5.71
105,US-2011-119137,23-07-2011,27-07-2011,Arthur Gainer,USA,Tucson,Arizona,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1023.94,8.0,179.19
106,US-2011-119137,23-07-2011,27-07-2011,Arthur Gainer,USA,Tucson,Arizona,Art,Newell 324,9.24,1.0,0.92
107,US-2011-119137,23-07-2011,27-07-2011,Arthur Gainer,USA,Tucson,Arizona,Accessories,Microsoft Natural Keyboard Elite,479.04,10.0,-29.94
108,CA-2013-134775,29-10-2013,30-10-2013,Alejandro Savely,USA,San Francisco,California,Paper,Southworth Structures Collection,50.96,7.0,25.48
109,CA-2013-134775,29-10-2013,30-10-2013,Alejandro Savely,USA,San Francisco,California,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.54,3.0,17.34
110,US-2011-135972,21-09-2011,23-09-2011,Jack Garza,USA,Des Moines,Washington,Phones,Nortel Meridian M3904 Professional Digital phone,246.38,2.0,27.72
111,US-2011-135972,21-09-2011,23-09-2011,Jack Garza,USA,Des Moines,Washington,Copiers,Canon PC1080F Personal Copier,1799.97,3.0,701.99
112,CA-2014-102946,01-07-2014,06-07-2014,Victor Preis,USA,Las Vegas,Nevada,Binders,Tuf-Vin Binders,75.79,3.0,25.58
113,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Accessories,Sony 64GB Class 10 Micro SDHC R40 Memory Card,179.95,5.0,37.79
114,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Copiers,Sharp AL-1530CS Digital Copier,1199.98,3.0,434.99
115,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Paper,"Wirebound Message Book, 4 per Page",27.15,5.0,13.3
116,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Tables,"Bevis Round Conference Table Top, X-Base",1004.02,7.0,-112.95
117,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",9.68,1.0,4.65
118,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Labels,Self-Adhesive Removable Labels,28.35,9.0,13.61
119,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Paper,Xerox 1908,55.98,1.0,27.43
120,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,1336.83,13.0,31.45
121,CA-2014-117457,09-12-2014,13-12-2014,Keith Herrera,USA,San Francisco,California,Chairs,Novimex High-Tech Fabric Mesh Task Chair,113.57,2.0,-18.45
122,CA-2014-142636,04-11-2014,08-11-2014,Kimberly Carter,USA,Seattle,Washington,Paper,Xerox 191,139.86,7.0,65.73
123,CA-2014-142636,04-11-2014,08-11-2014,Kimberly Carter,USA,Seattle,Washington,Chairs,Global Deluxe Office Fabric Chairs,307.14,4.0,26.87
124,CA-2014-122105,25-06-2014,29-06-2014,Caroline Jumper,USA,Huntington Beach,California,Art,Bulldog Vacuum Base Pencil Sharpener,95.92,8.0,25.9
125,CA-2013-148796,15-04-2013,19-04-2013,Philip Brown,USA,Los Angeles,California,Chairs,Bevis Steel Folding Chairs,383.8,5.0,38.38
126,CA-2014-110478,05-03-2014,10-03-2014,Sung Pak,USA,Los Angeles,California,Art,American Pencil,9.32,4.0,2.7
127,CA-2014-110478,05-03-2014,10-03-2014,Sung Pak,USA,Los Angeles,California,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",15.25,1.0,7.02
128,CA-2011-142048,22-06-2011,25-06-2011,Joel Eaton,USA,Louisville,Colorado,Accessories,KeyTronic 6101 Series - Keyboard - Black,196.75,6.0,56.57
129,US-2011-110674,13-02-2011,19-02-2011,Sanjit Chand,USA,Concord,California,Chairs,"Global Geo Office Task Chair, Gray",129.57,2.0,-24.29
130,CA-2012-109638,15-12-2012,22-12-2012,Joseph Holt,USA,Seattle,Washington,Appliances,3M Office Air Cleaner,103.92,4.0,36.37
131,CA-2012-109638,15-12-2012,22-12-2012,Joseph Holt,USA,Seattle,Washington,Accessories,Logitech G700s Rechargeable Gaming Mouse,899.91,9.0,377.96
132,CA-2012-109638,15-12-2012,22-12-2012,Joseph Holt,USA,Seattle,Washington,Binders,Acco D-Ring Binder w/DublLock,51.31,3.0,18.6
133,CA-2013-109869,23-04-2013,30-04-2013,Tanja Norvell,USA,Phoenix,Arizona,Furnishings,Eldon Wave Desk Accessories,23.56,5.0,7.07
134,CA-2013-109869,23-04-2013,30-04-2013,Tanja Norvell,USA,Phoenix,Arizona,Tables,Bush Advantage Collection Racetrack Conference Table,1272.63,6.0,-814.48
135,CA-2013-109869,23-04-2013,30-04-2013,Tanja Norvell,USA,Phoenix,Arizona,Binders,Poly Designer Cover & Back,28.49,5.0,-20.89
136,CA-2013-109869,23-04-2013,30-04-2013,Tanja Norvell,USA,Phoenix,Arizona,Supplies,Premier Electric Letter Opener,185.38,2.0,-34.76
137,CA-2013-109869,23-04-2013,30-04-2013,Tanja Norvell,USA,Phoenix,Arizona,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",78.27,2.0,5.87
138,CA-2011-144666,09-11-2011,11-11-2011,Jeremy Pistek,USA,San Francisco,California,Storage,SAFCO Boltless Steel Shelving,340.92,3.0,3.41
139,CA-2011-144666,09-11-2011,11-11-2011,Jeremy Pistek,USA,San Francisco,California,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",222.67,2.0,10.48
140,CA-2011-144666,09-11-2011,11-11-2011,Jeremy Pistek,USA,San Francisco,California,Phones,Samsung Galaxy Note 3,703.97,4.0,88.0
141,CA-2011-144666,09-11-2011,11-11-2011,Jeremy Pistek,USA,San Francisco,California,Storage,"Decoflex Hanging Personal Folder File, Blue",92.52,6.0,24.98
142,CA-2011-144666,09-11-2011,11-11-2011,Jeremy Pistek,USA,San Francisco,California,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",62.65,7.0,28.82
143,CA-2011-144666,09-11-2011,11-11-2011,Jeremy Pistek,USA,San Francisco,California,Paper,Xerox 1912,94.85,5.0,45.53
144,CA-2013-103891,13-07-2013,20-07-2013,Kristen Hastings,USA,Los Angeles,California,Phones,Cisco SPA525G2 IP Phone - Wireless,95.76,6.0,7.18
145,CA-2011-134677,06-10-2011,10-10-2011,Xylona Preis,USA,San Diego,California,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,9.09,3.0,1.91
146,CA-2014-140963,11-06-2014,14-06-2014,Michelle Tran,USA,Los Angeles,California,Labels,Alphabetical Labels for Top Tab Filing,29.6,2.0,14.8
147,CA-2014-140963,11-06-2014,14-06-2014,Michelle Tran,USA,Los Angeles,California,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,514.17,5.0,-30.25
148,CA-2014-140963,11-06-2014,14-06-2014,Michelle Tran,USA,Los Angeles,California,Phones,iHome FM Clock Radio with Lightning Dock,279.96,5.0,17.5
149,CA-2013-169166,10-05-2013,15-05-2013,Sonia Sunley,USA,Seattle,Washington,Accessories,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,93.98,2.0,13.16
150,CA-2013-126158,26-07-2013,01-08-2013,Sanjit Chand,USA,Costa Mesa,California,Binders,Clear Mylar Reinforcing Strips,119.62,8.0,40.37
151,CA-2013-126158,26-07-2013,01-08-2013,Sanjit Chand,USA,Costa Mesa,California,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",255.76,4.0,81.84
152,CA-2013-126158,26-07-2013,01-08-2013,Sanjit Chand,USA,Costa Mesa,California,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,241.57,2.0,18.12
153,CA-2013-126158,26-07-2013,01-08-2013,Sanjit Chand,USA,Costa Mesa,California,Furnishings,Deflect-O Glasstique Clear Desk Accessories,69.3,9.0,22.87
154,US-2013-105578,31-05-2013,05-06-2013,Maribeth Yedwab,USA,Parker,Colorado,Binders,Vinyl Sectional Post Binders,22.62,2.0,-15.08
155,US-2013-105578,31-05-2013,05-06-2013,Maribeth Yedwab,USA,Parker,Colorado,Binders,GBC Standard Therm-A-Bind Covers,14.95,2.0,-11.96
156,US-2013-105578,31-05-2013,05-06-2013,Maribeth Yedwab,USA,Parker,Colorado,Chairs,Global Troy Executive Leather Low-Back Tilter,801.57,2.0,50.1
157,US-2013-105578,31-05-2013,05-06-2013,Maribeth Yedwab,USA,Parker,Colorado,Binders,Storex Flexible Poly Binders with Double Pockets,2.38,3.0,-1.9
158,US-2013-105578,31-05-2013,05-06-2013,Maribeth Yedwab,USA,Parker,Colorado,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",32.79,1.0,11.89
159,CA-2014-163405,22-12-2014,26-12-2014,Bradley Nguyen,USA,Los Angeles,California,Art,Newell 327,6.63,3.0,1.79
160,CA-2014-163405,22-12-2014,26-12-2014,Bradley Nguyen,USA,Los Angeles,California,Art,Newell 317,5.88,2.0,1.71
161,CA-2014-127432,23-01-2014,28-01-2014,Alan Dominguez,USA,Great Falls,Montana,Copiers,Canon Image Class D660 Copier,2999.95,5.0,1379.98
162,CA-2014-127432,23-01-2014,28-01-2014,Alan Dominguez,USA,Great Falls,Montana,Storage,Advantus Rolling Storage Box,51.45,3.0,13.89
163,CA-2014-127432,23-01-2014,28-01-2014,Alan Dominguez,USA,Great Falls,Montana,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),11.96,2.0,5.38
164,CA-2014-127432,23-01-2014,28-01-2014,Alan Dominguez,USA,Great Falls,Montana,Storage,Tennsco Single-Tier Lockers,1126.02,3.0,56.3
165,US-2013-139486,22-05-2013,24-05-2013,Logan Haushalter,USA,Los Angeles,California,Phones,Motorola HK250 Universal Bluetooth Headset,55.18,3.0,-12.41
166,US-2013-139486,22-05-2013,24-05-2013,Logan Haushalter,USA,Los Angeles,California,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,66.26,2.0,27.17
